,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,10627714.569575,-12272174.1,10189800.0,4327030.328515,29446720.0
Tax Rate For Calcs,0.147513,0.3643,0.34,0.154791,0.34
Normalized EBITDA,1955542000.0,798672000.0,583027000.0,3078147000.0,888290000.0
Total Unusual Items,72046000.0,-33687000.0,29970000.0,27954000.0,86608000.0
Total Unusual Items Excluding Goodwill,72046000.0,-33687000.0,29970000.0,27954000.0,86608000.0
Net Income From Continuing Operation Net Minority Interest,1194583000.0,115858000.0,-357260000.0,2016032000.0,446307000.0
Reconciled Depreciation,326252000.0,317671000.0,312226000.0,283014000.0,288394000.0
Reconciled Cost Of Revenue,2589517000.0,2377875000.0,2237701000.0,2125231000.0,2063350000.0
EBITDA,2027588000.0,764985000.0,612997000.0,3106101000.0,974898000.0
EBIT,1701336000.0,447314000.0,300771000.0,2823087000.0,686504000.0
Net Interest Income,-337009000.0,-820720000.0,-549548000.0,-535999000.0,-368141000.0
Interest Expense,300245000.0,265195000.0,492456000.0,437840000.0,271274000.0
Interest Income,35862000.0,25440000.0,21498000.0,23521000.0,17501000.0
Normalized Income,1133164714.569575,137272825.9,-377040200.0,1992405030.328515,389145720.0
Net Income From Continuing And Discontinued Operation,1194583000.0,115858000.0,-357260000.0,2016032000.0,446307000.0
Total Expenses,3572674000.0,3146068000.0,2845247000.0,3276204000.0,3155137000.0
Diluted Average Shares,5432044538.0,5458910000.0,5470598000.0,,5476685000.0
Basic Average Shares,5432044538.0,5458910000.0,5470598000.0,,5476685000.0
Diluted EPS,0.219883,0.02121,-0.06531,,0.08149
Basic EPS,0.219883,0.02121,-0.06531,,0.08149
Diluted NI Availto Com Stockholders,1194583000.0,115858000.0,-357260000.0,2016032000.0,446307000.0
Net Income Common Stockholders,1194583000.0,115858000.0,-357260000.0,2016032000.0,446307000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,1194583000.0,115858000.0,-357260000.0,2016032000.0,446307000.0
Minority Interests,171000.0,91000.0,28000.0,,
Net Income Including Noncontrolling Interests,1194412000.0,115767000.0,-357288000.0,2016032000.0,446307000.0
Net Income Continuous Operations,1194412000.0,115767000.0,-357288000.0,2016032000.0,446307000.0
Tax Provision,206679000.0,66352000.0,165603000.0,369215000.0,-31077000.0
Pretax Income,1401091000.0,182119000.0,-191685000.0,2385247000.0,415230000.0
Special Income Charges,-22818000.0,-37864000.0,-12472000.0,-7798000.0,-17611000.0
Other Special Charges,18337000.0,19661000.0,11020000.0,,
Write Off,,,,,1586000.0
Impairment Of Capital Assets,,18203000.0,1452000.0,,
Net Non Operating Interest Income Expense,-337009000.0,-820720000.0,-549548000.0,-535999000.0,-368141000.0
Total Other Finance Cost,72626000.0,580965000.0,78590000.0,121680000.0,114368000.0
Interest Expense Non Operating,300245000.0,265195000.0,492456000.0,437840000.0,271274000.0
Interest Income Non Operating,35862000.0,25440000.0,21498000.0,23521000.0,17501000.0
Operating Income,1356790000.0,892134000.0,1066135000.0,1553460000.0,811700000.0
Operating Expense,983157000.0,768193000.0,607546000.0,1150973000.0,1091787000.0
Other Operating Expenses,71376000.0,59866000.0,49271000.0,177406000.0,40514000.0
Depreciation And Amortization In Income Statement,1345000.0,1379000.0,1869000.0,573000.0,1096000.0
Depreciation Income Statement,1345000.0,1379000.0,1869000.0,573000.0,1096000.0
Research And Development,15114000.0,,,5006000.0,2422000.0
Selling General And Administration,903588000.0,708307000.0,556771000.0,971573000.0,1051862000.0
Selling And Marketing Expense,858583000.0,656683000.0,511595000.0,926946000.0,1006805000.0
General And Administrative Expense,45005000.0,51624000.0,45176000.0,44627000.0,45057000.0
Gross Profit,2339947000.0,1660327000.0,1673681000.0,2704433000.0,1903487000.0
Cost Of Revenue,2589517000.0,2377875000.0,2237701000.0,2125231000.0,2063350000.0
Total Revenue,4929464000.0,4038202000.0,3911382000.0,4829664000.0,3966837000.0
Operating Revenue,4929464000.0,4038202000.0,3911382000.0,4829664000.0,3966837000.0
