,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,1200782000.0,1917710000.0,2003430000.0,-555005000.0,1056034000.0,,
Repurchase Of Capital Stock,495228000.0,-495228000.0,0.0,-34022000.0,-7899000.0,,
Repayment Of Debt,-690236000.0,-639825000.0,-2059735000.0,-11648739000.0,-1520258000.0,,
Issuance Of Debt,2672664000.0,959193000.0,1428156000.0,6486495000.0,3677251000.0,,
Capital Expenditure,-2156472000.0,-2093237000.0,-1925249000.0,-2284909000.0,-2648933000.0,,
Income Tax Paid Supplemental Data,765129000.0,-119193000.0,223615000.0,371123000.0,277929000.0,,
End Cash Position,27243683000.0,12898403000.0,13527889000.0,14809083000.0,16903542000.0,,
Beginning Cash Position,12898403000.0,13527889000.0,14809083000.0,16903542000.0,14627568000.0,,
Effect Of Exchange Rate Changes,33506000.0,-37413000.0,-57552000.0,-197172000.0,136269000.0,,
Changes In Cash,14311774000.0,-592073000.0,-1223642000.0,-1897287000.0,2139705000.0,,
Financing Cash Flow,12514307000.0,-1758009000.0,-3534925000.0,-9573313000.0,-194949000.0,,
Cash Flow From Continuing Financing Activities,12514307000.0,-719275000.0,-4573659000.0,-9573313000.0,-194949000.0,,
Net Other Financing Charges,-4761821000.0,-249532000.0,-441861000.0,-2592148000.0,-344459000.0,,
Interest Paid Cff,-1385811000.0,-1230762000.0,-1173887000.0,-1369867000.0,-1338797000.0,,
Proceeds From Stock Option Exercised,,,,,0.0,0.0,0.0
Cash Dividends Paid,-888810000.0,-101855000.0,-1287598000.0,-415032000.0,-660787000.0,,
Preferred Stock Dividend Paid,-623592000.0,0.0,0.0,-371000000.0,0.0,,
Common Stock Dividend Paid,-265218000.0,-101855000.0,-1287598000.0,-44032000.0,-660787000.0,,
Net Common Stock Issuance,13568321000.0,-495228000.0,0.0,-34022000.0,-7899000.0,,
Common Stock Payments,495228000.0,-495228000.0,0.0,-34022000.0,-7899000.0,,
Net Issuance Payments Of Debt,1982428000.0,319368000.0,-631579000.0,-5162244000.0,2156993000.0,,
Net Long Term Debt Issuance,1982428000.0,319368000.0,-631579000.0,-5162244000.0,2156993000.0,,
Long Term Debt Payments,-690236000.0,-639825000.0,-2059735000.0,-11648739000.0,-1520258000.0,,
Long Term Debt Issuance,2672664000.0,959193000.0,1428156000.0,6486495000.0,3677251000.0,,
Investing Cash Flow,-1559787000.0,-2845011000.0,-1617396000.0,5946122000.0,-1370313000.0,,
Cash From Discontinued Investing Activities,0.0,,,,21624000.0,,
Cash Flow From Continuing Investing Activities,-1559787000.0,-3859409000.0,-610423000.0,5946122000.0,-1391937000.0,,
Net Other Investing Changes,198393000.0,1011088000.0,-942371000.0,-89088000.0,-254000.0,,
Dividends Received Cfi,33560000.0,24320000.0,45267000.0,137525000.0,44817000.0,,
Net Investment Purchase And Sale,649223000.0,-1422509000.0,1194306000.0,8383656000.0,1860204000.0,,
Sale Of Investment,772774000.0,-415491000.0,212757000.0,9365160000.0,1180153000.0,,
Purchase Of Investment,-123551000.0,,,-981504000.0,680051000.0,-865241000.0,201558000.0
Net Business Purchase And Sale,-289652000.0,-372161000.0,7425000.0,-202086000.0,-661782000.0,,
Sale Of Business,548000.0,7575000.0,7425000.0,11000000.0,0.0,,
Purchase Of Business,-290200000.0,-379736000.0,0.0,-213086000.0,-661782000.0,,
Net PPE Purchase And Sale,-2151311000.0,-2093174000.0,-1922023000.0,-2283885000.0,-2634922000.0,,
Sale Of PPE,5161000.0,63000.0,3226000.0,1024000.0,14011000.0,,
Purchase Of PPE,-2156472000.0,-2093237000.0,-1925249000.0,-2284909000.0,-2648933000.0,,
Capital Expenditure Reported,,,,,-2649000000.0,,
Operating Cash Flow,3357254000.0,4010947000.0,3928679000.0,1729904000.0,3704967000.0,,
Cash Flow From Continuing Operating Activities,3357254000.0,3384448000.0,4555178000.0,1729904000.0,3704967000.0,,
Change In Working Capital,-647367000.0,-781815000.0,250776000.0,-2064999000.0,-7055000.0,,
Change In Other Working Capital,-315209000.0,-421752000.0,81091000.0,-1362682000.0,-665342000.0,,
Change In Other Current Liabilities,196385000.0,73691000.0,-190616000.0,-53150000.0,-218953000.0,,
Change In Other Current Assets,,,,-5107000.0,,,
Change In Payables And Accrued Expense,-1149353000.0,-515665000.0,262307000.0,-280419000.0,-261631000.0,,
Change In Payable,-633843000.0,-515665000.0,262307000.0,-280419000.0,-261631000.0,,
Change In Account Payable,-139336000.0,-89165000.0,262307000.0,-280419000.0,-100940000.0,,
Change In Tax Payable,-494507000.0,,,,-160691000.0,,
Change In Income Tax Payable,-494507000.0,,,,-160691000.0,,
Change In Inventory,128269000.0,25752000.0,-162083000.0,-99705000.0,278850000.0,,
Change In Receivables,492541000.0,56159000.0,254970000.0,-263936000.0,860021000.0,,
Changes In Account Receivables,492541000.0,56159000.0,254970000.0,-263936000.0,860021000.0,,
Other Non Cash Items,2094657000.0,3300423000.0,1257071000.0,2307540000.0,3232788000.0,,
Stock Based Compensation,,6388000.0,20726000.0,23892000.0,-189408000.0,174051000.0,
Provisionand Write Offof Assets,-22345000.0,98484000.0,78625000.0,-110286000.0,331068000.0,,
Asset Impairment Charge,493658000.0,316955000.0,,,1988517000.0,109062000.0,
Deferred Tax,,,,,-10230000.0,-7000.0,
Deferred Income Tax,,,,,-10230000.0,-7000.0,
Depreciation Amortization Depletion,929741000.0,1000883000.0,992314000.0,967894000.0,967798000.0,,
Depreciation And Amortization,929741000.0,1000883000.0,992314000.0,967894000.0,967798000.0,,
Operating Gains Losses,6754170000.0,1012320000.0,611505000.0,1494726000.0,3311393000.0,,
Pension And Employee Benefit Expense,144720000.0,108425000.0,118466000.0,93871000.0,168777000.0,,
Earnings Losses From Equity Investments,7830802000.0,965456000.0,748845000.0,1119998000.0,1359753000.0,,
Gain Loss On Investment Securities,-1251944000.0,-94681000.0,-10004000.0,-557000.0,-1254765000.0,,
Net Income From Continuing Operations,-6669799000.0,-467146000.0,34523000.0,-888863000.0,-5919904000.0,,
