,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-119942480.0,-98379000.0,-3361580.0,-136320960.0,-19338860.0,
Tax Rate For Calcs,0.34,0.34,0.34,0.34,0.34,
Normalized EBITDA,3983745000.0,3390956000.0,3393384000.0,3901717000.0,3798645000.0,
Total Unusual Items,-352772000.0,-289350000.0,-9887000.0,-400944000.0,-56879000.0,
Total Unusual Items Excluding Goodwill,-352772000.0,-289350000.0,-9887000.0,-400944000.0,-56879000.0,
Net Income From Continuing Operation Net Minority Interest,94022000.0,61685000.0,88648000.0,1125906000.0,247630000.0,
Reconciled Depreciation,1904796000.0,1865787000.0,1794756000.0,1958676000.0,1782428000.0,
Reconciled Cost Of Revenue,36617960000.0,33944045000.0,34762076000.0,36469188000.0,33825085000.0,
EBITDA,3630973000.0,3101606000.0,3383497000.0,3500773000.0,3741766000.0,
EBIT,1726177000.0,1235819000.0,1588741000.0,1542097000.0,1959338000.0,
Net Interest Income,-1006501000.0,-1153119000.0,-1241307000.0,-1390928000.0,-955187000.0,
Interest Expense,1563578000.0,1564495000.0,1655178000.0,1815717000.0,1347415000.0,
Interest Income,557077000.0,411376000.0,413871000.0,424789000.0,392228000.0,
Normalized Income,326851520.0,252656000.0,95173420.0,1390529040.0,285170140.0,
Net Income From Continuing And Discontinued Operation,94022000.0,85223000.0,87904000.0,2578278000.0,79141000.0,
Total Expenses,40194745000.0,37584279000.0,38133287000.0,40614702000.0,37187492000.0,
Diluted Average Shares,1429599056.0,844628345.0,866559549.0,,888574972.0,900493098.0
Basic Average Shares,1429599056.0,844628345.0,866559549.0,,888574972.0,900493098.0
Diluted EPS,0.0,0.1009,0.1023,,0.0195,0.1208
Basic EPS,0.1068,0.1009,0.1023,,0.0195,0.1208
Diluted NI Availto Com Stockholders,94022000.0,85223000.0,87904000.0,2578278000.0,79141000.0,
Net Income Common Stockholders,94022000.0,85223000.0,87904000.0,2578278000.0,79141000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,94022000.0,85223000.0,87904000.0,2578278000.0,79141000.0,
Minority Interests,-89456000.0,-111869000.0,-336716000.0,-151126000.0,-401849000.0,
Net Income Including Noncontrolling Interests,183478000.0,197092000.0,424620000.0,2729404000.0,480990000.0,
Net Income Discontinuous Operations,0.0,23538000.0,-744000.0,1452372000.0,-168489000.0,
Net Income Continuous Operations,183478000.0,173554000.0,425364000.0,1277032000.0,649479000.0,
Tax Provision,-20879000.0,-502230000.0,-491801000.0,-1550652000.0,-37556000.0,
Pretax Income,162599000.0,-328676000.0,-66437000.0,-273620000.0,611923000.0,
Special Income Charges,-352772000.0,-289350000.0,-9887000.0,-400944000.0,-56879000.0,
Other Special Charges,352772000.0,289350000.0,9887000.0,400944000.0,56879000.0,
Net Non Operating Interest Income Expense,-1006501000.0,-1153119000.0,-1241307000.0,-1390928000.0,-955187000.0,
Total Other Finance Cost,,,,,,470835000.0
Interest Expense Non Operating,1563578000.0,1564495000.0,1655178000.0,1815717000.0,1347415000.0,
Interest Income Non Operating,557077000.0,411376000.0,413871000.0,424789000.0,392228000.0,
Operating Income,1570787000.0,1107769000.0,1271722000.0,1535555000.0,1946984000.0,
Operating Expense,3576785000.0,3640234000.0,3371211000.0,4145514000.0,3362407000.0,
Other Operating Expenses,47782000.0,118171000.0,-13907000.0,243400000.0,,29882000.0
Depreciation And Amortization In Income Statement,327601000.0,325986000.0,294345000.0,347573000.0,290079000.0,
Depreciation Income Statement,327601000.0,325986000.0,294345000.0,347573000.0,290079000.0,
Selling General And Administration,2379093000.0,2311114000.0,2288010000.0,2626317000.0,2324479000.0,
Selling And Marketing Expense,2229277000.0,2105161000.0,2017311000.0,2394561000.0,2144147000.0,
General And Administrative Expense,149816000.0,205953000.0,270699000.0,231756000.0,180332000.0,
Gross Profit,5147572000.0,4748003000.0,4642933000.0,5681069000.0,5309391000.0,
Cost Of Revenue,36617960000.0,33944045000.0,34762076000.0,36469188000.0,33825085000.0,
Total Revenue,41765532000.0,38692048000.0,39405009000.0,42150257000.0,39134476000.0,
Operating Revenue,41765532000.0,38692048000.0,39405009000.0,42150257000.0,39134476000.0,
